DepMap_ID,ARHGAP29 (9411) Exp,BCAR3 (8412) Exp,CCND1 (595) Exp,CDK6 (1021) Exp,CFLAR (8837) Exp,EGFR (1956) Exp,FERMT2 (10979) Exp,FOSL1 (8061) Exp,GRHL2 (79977) Exp,HNF1B (6928) Exp,ITGAV (3685) Exp,ITGB5 (3693) Exp,KLF5 (688) Exp,MDM2 (4193) Exp,MYC (4609) Exp,SNAI2 (6591) Exp,TIPARP (25976) Exp,WWTR1 (25937) Exp,YAP1 (10413) Exp,ZEB1 (6935) Exp,ZEB2 (9839) Exp,ZFP36L1 (677) Exp,EIF2AK3 (9451) Dep,MYC (4609) Dep,NQO1 (1728) Dep,SF3B1 (23451) Dep,SQSTM1 (8878) Dep
ACH-001458,0.0285691521967709,2.881664619320345,4.766065051474954,2.448900951145128,3.39231742277876,2.817623257511431,0.1243281350022017,1.2265085298086795,3.543495883425772,2.985500430304885,2.6016965164809576,4.349082146391089,7.549515160046773,4.990954860396993,6.723422039585,0.0,3.0513721017210256,0.0840642647884745,5.6845382485777325,0.0840642647884745,0.01435529297707,4.458775699080244,0.0124899710113142,0.9968798693153228,0.0514086816449389,0.9994399591996184,0.1695852850812004
ACH-001459,0.879705766282288,3.082361969557473,3.324810603420484,1.4698859762744636,3.6881803585869264,1.613531652917927,0.2986583155645151,0.7398481026993274,2.495695162624069,2.2357270598380583,2.324810603420484,4.405992359675837,6.28835856219366,5.574404309022579,5.74416109557041,0.0285691521967709,3.665620164066381,0.6507645591169022,3.875780063068488,0.0565835283663675,0.070389327891398,4.575917361118149,0.027725675302513,0.9999044268300414,0.0268323442978214,0.9997546371842936,0.0691752012277446
ACH-001460,1.144046369616707,2.8619553641448694,4.762348815644129,2.942983598187102,4.589164236699772,2.440952198029637,0.2141248053528473,4.169925001442312,3.405992359675837,1.918386234446348,3.0874628412503395,4.165911938935689,7.618679150751557,5.112700132749362,6.76248170331897,0.0,4.139142019145689,0.4646682670034443,4.185866545311334,0.0285691521967709,0.01435529297707,4.797531839571962,0.0978928810045184,0.9999475498400736,0.1606735877043546,0.926172464599708,0.0033887663708347
ACH-001461,0.0976107966264223,2.3868109464722167,3.189033824390017,2.4646682670034443,2.7092906357233577,1.550900664647523,0.0565835283663675,3.4646682670034443,2.6982184782244136,2.097610796626422,1.5459683691052926,4.198494153639083,6.281141833671971,7.06834836066393,6.358255586705128,0.01435529297707,3.642701571833233,0.4956951626240688,3.6667565918848033,0.0285691521967709,0.01435529297707,5.408032466130653,0.0281623732152139,0.9122930165355811,0.0256046542174689,0.998704201912342,0.0127567397951004
ACH-001484,0.0,0.4854268271702416,1.550900664647523,3.833902076669163,7.357288072847815,0.0426443374084937,5.785550551739256,2.3045110418099526,0.0,3.984589350362457,2.1731274334806563,1.232660756790275,1.7004397181410922,6.503348735167505,6.85124932023306,0.0,4.0,0.6415460290875237,0.0,3.311793717753649,0.5260688116675876,6.0961353249095005,0.0226719526803517,0.9808429690758028,0.124498171481704,0.9806656890778214,0.0129984051336301
ACH-001485,0.0,0.0426443374084937,0.2630344058337938,3.333423733725192,6.680746300314991,0.01435529297707,5.556122817841175,2.472487771462744,0.0,3.114367024952,1.5753123306874368,0.2868811477881615,0.3448284969974411,6.492494151679432,6.118733475767844,0.0,2.613531652917927,0.2387868595871164,0.0,2.978195629681652,0.0,5.918147673876828,0.0369465219852301,0.9998062719282472,0.0556590231596964,0.9997377102744204,0.0070283489493617
ACH-001494,5.043081981895663,4.714795011118162,6.611024797307352,1.5058909297299572,3.979110755015786,3.339137384919585,2.73768676140986,3.996388746447621,4.475733430966398,3.452858964713811,3.7644735509926655,5.4495613746132365,6.534497433738168,5.513806537433724,3.298658315564515,1.8519988371124465,4.720278465233327,3.563158130402808,4.7692427951405385,0.1634987322828795,0.0,5.391286558111185,0.0290695473755266,0.9999999999999986,0.2257488527996019,0.9608838264518592,0.0714190854874813
ACH-001495,4.998646839005795,2.4329594072761065,5.86418614465428,3.371558862611963,5.008540671702954,4.3729520979118295,3.4342946179599254,5.656782364218995,0.2016338611696504,6.1013979521825314,5.257387842692652,5.889230152392887,2.073820233291672,5.34801990922869,4.282439805006387,0.8318772411916731,3.4620523187964327,6.502394256111261,3.799087306074004,1.4329594072761065,2.361768359419153,5.73903797911741,0.1014687389303513,0.0203058981440629,0.0363305022176873,1.0,0.025518701237954
ACH-001496,1.4854268271702415,4.535430914871279,4.011674533380918,3.33199177823206,5.1586601753464985,3.341985747228616,0.3673710656485294,6.675110215245225,4.729552770453971,2.671293372481576,3.982765462583646,4.37920505996061,7.1541092426295165,5.287989350408949,5.845490050944375,0.0840642647884745,5.22573765346606,2.794935662803536,5.878234879112339,0.4750848829487828,0.0426443374084937,6.680324356844016,0.0394384196748085,0.9694574731321668,0.0837081290899377,0.9848480621829486,0.0308495274287921
ACH-001497,5.356495987705577,6.051807107013298,7.249066033855867,0.9107326619029126,2.327687364176047,2.5084286525318573,0.1505596765753814,5.852747964800878,0.01435529297707,0.0,0.0285691521967709,5.239932613485237,7.489446598622579,5.12969515665378,7.006522445622979,0.01435529297707,5.272396509037485,4.422233000683048,4.006298023900369,2.871843648509318,0.1110313123887439,4.576522137920503,0.0334307854596802,1.0,0.0215846579008703,0.998708028653542,0.0412890685052026
